icao,airport_node_title,aip_main_title,aip_main_href_menu_relative,aip_main_url
UWKE,UWKE. НИЖНЕКАМСК (БЕГИШЕВО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uwke/1-ad2-rus-uwke-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uwke/1-ad2-rus-uwke-txt.pdf
USNN,USNN. НИЖНЕВАРТОВСК,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/usnn/1-ad2-rus-usnn-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/usnn/1-ad2-rus-usnn-txt.pdf
UWGG,UWGG. НИЖНИЙ НОВГОРОД (СТРИГИНО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uwgg/1-ad2-rus-uwgg-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uwgg/1-ad2-rus-uwgg-txt.pdf
UNWW,UNWW. НОВОКУЗНЕЦК (СПИЧЕНКОВО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/unww/1-ad2-rus-unww-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/unww/1-ad2-rus-unww-txt.pdf
UNNT,UNNT. НОВОСИБИРСК (ТОЛМАЧЕВО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/unnt/1-ad2-rus-unnt-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/unnt/1-ad2-rus-unnt-txt.pdf
UNOO,UNOO. ОМСК (ЦЕНТРАЛЬНЫЙ),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/unoo/1-ad2-rus-unoo-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/unoo/1-ad2-rus-unoo-txt.pdf
UWOO,UWOO. ОРЕНБУРГ,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uwoo/1-ad2-rus-uwoo-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uwoo/1-ad2-rus-uwoo-txt.pdf
UWOR,UWOR. ОРСК,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uwor/1-ad2-rus-uwor-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uwor/1-ad2-rus-uwor-txt.pdf
UUMO,UUMO. ОСТАФЬЕВО,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uumo/1-ad2-rus-uumo-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uumo/1-ad2-rus-uumo-txt.pdf
USPP,USPP. ПЕРМЬ (БОЛЬШОЕ САВИНО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uspp/1-ad2-rus-uspp-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uspp/1-ad2-rus-uspp-txt.pdf
UHPP,UHPP. ПЕТРОПАВЛОВСК-КАМЧАТСКИЙ (ЕЛИЗОВО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uhpp/1-ad2-rus-uhpp-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uhpp/1-ad2-rus-uhpp-txt.pdf
ULPB,ULPB. ПЕТРОЗАВОДСК,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/ulpb/1-ad2-rus-ulpb-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/ulpb/1-ad2-rus-ulpb-txt.pdf
UHMD,UHMD. ПРОВИДЕНИЯ БУХТА,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uhmd/1-ad2-rus-uhmd-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uhmd/1-ad2-rus-uhmd-txt.pdf
ULOO,ULOO. ПСКОВ,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uloo/1-ad2-rus-uloo-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uloo/1-ad2-rus-uloo-txt.pdf
UUBW,UUBW. РАМЕНСКОЕ,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uubw/1-ad2-rus-uubw-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uubw/1-ad2-rus-uubw-txt.pdf
URRP,URRP. РОСТОВ - НА - ДОНУ (ПЛАТОВ),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/urrp/1-ad2-rus-urrp-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/urrp/1-ad2-rus-urrp-txt.pdf
USDA,USDA. САБЕТТА,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/usda/1-ad2-rus-usda-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/usda/1-ad2-rus-usda-txt.pdf
UWWW,UWWW. САМАРА (КУРУМОЧ),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uwww/1-ad2-rus-uwww-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uwww/1-ad2-rus-uwww-txt.pdf
ULLI,ULLI. САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/ulli/1-ad2-rus-ulli-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/ulli/1-ad2-rus-ulli-txt.pdf
UWPS,UWPS. САРАНСК,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uwps/1-ad2-rus-uwps-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uwps/1-ad2-rus-uwps-txt.pdf
UWSG,UWSG. САРАТОВ (ГАГАРИН),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uwsg/1-ad2-rus-uwsg-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uwsg/1-ad2-rus-uwsg-txt.pdf
URFF,URFF.  СИМФЕРОПОЛЬ,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/urff/1-ad2-rus-urff-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/urff/1-ad2-rus-urff-txt.pdf
URSS,URSS. СОЧИ,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/urss/1-ad2-rus-urss-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/urss/1-ad2-rus-urss-txt.pdf
URMT,URMT. СТАВРОПОЛЬ (ШПАКОВСКОЕ),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/urmt/1-ad2-rus-urmt-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/urmt/1-ad2-rus-urmt-txt.pdf
USRR,USRR. СУРГУТ,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/usrr/1-ad2-rus-usrr-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/usrr/1-ad2-rus-usrr-txt.pdf
UUYY,UUYY. СЫКТЫВКАР,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uuyy/1-ad2-rus-uuyy-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uuyy/1-ad2-rus-uuyy-txt.pdf
UNTT,UNTT. ТОМСК (БОГАШЕВО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/untt/1-ad2-rus-untt-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/untt/1-ad2-rus-untt-txt.pdf
USTR,USTR. ТЮМЕНЬ (РОЩИНО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/ustr/1-ad2-rus-ustr-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/ustr/1-ad2-rus-ustr-txt.pdf
UWUU,UWUU. УФА,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uwuu/1-ad2-rus-uwuu-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uwuu/1-ad2-rus-uwuu-txt.pdf
UIUU,UIUU. УЛАН-УДЭ (МУХИНО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uiuu/1-ad2-rus-uiuu-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uiuu/1-ad2-rus-uiuu-txt.pdf
UWLL,UWLL. УЛЬЯНОВСК (БАРАТАЕВКА),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uwll/1-ad2-rus-uwll-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uwll/1-ad2-rus-uwll-txt.pdf
UWLW,UWLW. УЛЬЯНОВСК (ВОСТОЧНЫЙ),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uwlw/1-ad2-rus-uwlw-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uwlw/1-ad2-rus-uwlw-txt.pdf
URMO,URMO. ВЛАДИКАВКАЗ (БЕСЛАН),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/urmo/1-ad2-rus-urmo-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/urmo/1-ad2-rus-urmo-txt.pdf
UHWW,UHWW. ВЛАДИВОСТОК (КНЕВИЧИ),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uhww/1-ad2-rus-uhww-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uhww/1-ad2-rus-uhww-txt.pdf
URWW,URWW. ВОЛГОГРАД (ГУМРАК),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/urww/1-ad2-rus-urww-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/urww/1-ad2-rus-urww-txt.pdf
UUOO,UUOO. ВОРОНЕЖ (ЧЕРТОВИЦКОЕ),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uuoo/1-ad2-rus-uuoo-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uuoo/1-ad2-rus-uuoo-txt.pdf
UEEE,UEEE. ЯКУТСК,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/ueee/1-ad2-rus-ueee-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/ueee/1-ad2-rus-ueee-txt.pdf
UUDL,UUDL. ЯРОСЛАВЛЬ (ТУНОШНА),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uudl/1-ad2-rus-uudl-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uudl/1-ad2-rus-uudl-txt.pdf
USSS,USSS. ЕКАТЕРИНБУРГ (КОЛЬЦОВО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/usss/1-ad2-rus-usss-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/usss/1-ad2-rus-usss-txt.pdf
UHSS,UHSS. ЮЖНО-САХАЛИНСК (ХОМУТОВО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uhss/1-ad2-rus-uhss-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uhss/1-ad2-rus-uhss-txt.pdf
